outcome,bmi_ref,bmi_target,OR,ci_low,ci_high
ideal_outcome,25,18.5,0.9576500126401031,0.7070792635610043,1.297016606159411
ideal_outcome,25,20.0,1.1380450657667425,0.911034598733249,1.4216217183374487
ideal_outcome,25,30.0,0.835329921570866,0.7293333098853427,0.956731398955692
ideal_outcome,25,35.0,0.784616753969392,0.5802546889522422,1.060953857557081
ideal_outcome,25,40.0,0.710595241082637,0.4474865197100212,1.1284040399172344
best_performer,25,18.5,1.0950201179357897,0.7874563647094831,1.5227117494014848
best_performer,25,20.0,1.1829265490099021,0.9251402615280687,1.5125438579888475
best_performer,25,30.0,0.7619834652418442,0.6484504922150651,0.8953941870236112
best_performer,25,35.0,0.597444119216325,0.41092816217535716,0.868617701197739
best_performer,25,40.0,0.4690363081913723,0.2571435119386467,0.8555341596729915
major_clavien,25,18.5,0.7106135484723612,0.4783256453390812,1.0557067558326516
major_clavien,25,20.0,0.686165706896958,0.5139425750259428,0.9161011369755383
major_clavien,25,30.0,1.0752227936759202,0.9048293138058775,1.2777040248369778
major_clavien,25,35.0,0.823939351309485,0.5587988905467725,1.214884399595049
major_clavien,25,40.0,0.6283942738227046,0.3443812387172911,1.1466343661575826
popf_bc,25,18.5,0.7453536976548757,0.4980047588071358,1.1155558752862171
popf_bc,25,20.0,0.7724316249002303,0.5827316719465591,1.0238856816430728
popf_bc,25,30.0,1.1249724048781211,0.9541030587738195,1.3264425683360885
popf_bc,25,35.0,1.2157160225780403,0.8562942853178511,1.7260017646904637
popf_bc,25,40.0,1.626537745340791,0.9667035389158533,2.736749096817563
conversion,25,18.5,0.7181340532260585,0.4515235205243173,1.1421697762367462
conversion,25,20.0,0.6936034958251432,0.5027083755741113,0.9569878537858892
conversion,25,30.0,1.2652164831165509,1.0526427304119172,1.520718001371086
conversion,25,35.0,1.32652057016856,0.896644781728705,1.9624904521138846
conversion,25,40.0,1.4607744169116603,0.8113777845725553,2.6299239856902767
