group,bmi_group_median,outcome,bmi_ref,bmi_target,OR,ci_low,ci_high
BMI <18.5 (median BMI),17.630853994490355,best_performer,25,17.630853994490355,1.0004016979597248,0.6355754398663844,1.5746416467746096
BMI <20 (median BMI),18.832391713747644,best_performer,25,18.832391713747644,1.1228947885968903,0.8312261459642066,1.5169069360726657
