,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],outcome
robotic[T.True],-0.48219292901351135,0.18918357722066254,-2.5488096593663867,0.010809127747648327,-0.8529859268324621,-0.1113999311945606,popf_bc
splenectomy[T.True],0.25001595766906476,0.12445105279119338,2.0089501218486823,0.044542423645981655,0.006096376360232775,0.49393553897789677,popf_bc
"bs(bmi, df=4, include_intercept=False)[0]",-0.2731823739151279,0.9374072396409964,-0.29142336688134596,0.7707275455355174,-2.1104668024585886,1.5641020546283326,popf_bc
"bs(bmi, df=4, include_intercept=False)[1]",0.8698274892250476,0.6954135057466799,1.2508061492005331,0.21100521086162138,-0.493157936401183,2.2328129148512783,popf_bc
"bs(bmi, df=4, include_intercept=False)[2]",-0.26196963559009345,1.2349407022937238,-0.21213134776716222,0.8320045642029941,-2.682408935128393,2.158469663948206,popf_bc
"bs(bmi, df=4, include_intercept=False)[3]",2.7416896245383504,1.2192072212104161,2.248747855853765,0.024528542600846377,0.35208738127477623,5.131291867801925,popf_bc
age,-0.010464660142356653,0.004308487588372078,-2.4288476937009413,0.015146893852355042,-0.01890914064340376,-0.002020179641309546,popf_bc
centre_volume,-0.0018695076588742955,0.0007404071288361877,-2.524972526686621,0.011570733446759976,-0.003320678965289931,-0.00041833635245865997,popf_bc
Intercept,-2.2171374416131253,0.8583559246107246,-2.583004762993423,0.009794397080699763,-3.8994841397667237,-0.5347907434595272,conversion
asa_ge3[T.True],-0.1541617025616643,0.1715505713652694,-0.8986370685610815,0.3688460074034212,-0.49039464396486065,0.182071238841532,conversion
sex_male[T.True],0.6000902732735613,0.13271131728299876,4.521771658658964,6.132419251411577e-06,0.3399808710580158,0.8601996754891069,conversion
malignant[T.True],-0.048233575695153325,0.14775274681367262,-0.32644791203766593,0.7440854926106992,-0.3378236380668169,0.24135648667651025,conversion
robotic[T.True],-1.0369111839890928,0.24348851826104947,-4.258562955635539,2.0574527828762072e-05,-1.514139910429773,-0.5596824575484125,conversion
splenectomy[T.True],1.1982721899692217,0.14264954853781742,8.400112038570883,4.460528509325436e-17,0.9186842124242012,1.4778601675142422,conversion
"bs(bmi, df=4, include_intercept=False)[0]",-0.9973581191967229,1.0612146548945582,-0.9398269375537599,0.34730633899698826,-3.0773006226561597,1.0825843842627139,conversion
"bs(bmi, df=4, include_intercept=False)[1]",0.8529889045335052,0.7962709407196099,1.0712294784519423,0.2840662600287307,-0.7076734612127585,2.413651270279769,conversion
"bs(bmi, df=4, include_intercept=False)[2]",-0.5883457524889194,1.3786172350201757,-0.4267651219958157,0.6695504126978004,-3.290385881594655,2.113694376616816,conversion
"bs(bmi, df=4, include_intercept=False)[3]",1.3379714335674189,1.3228623923061076,1.0114214761483786,0.3118147465702321,-1.2547912118550477,3.9307340789898855,conversion
age,0.003502361370512569,0.005105061327334128,0.6860566692430917,0.49267737368233155,-0.006503374969930566,0.013508097710955704,conversion
centre_volume,-0.003379594895942954,0.0009189397654672151,-3.6777110132182296,0.00023533636931544666,-0.00518068374022038,-0.0015785060516655283,conversion
