component,<30,≥30,difference
CR-POPF B/C,0.16502282749817976,0.29063478753627847,0.1256119600380987
Clavien ≥III,0.16472785046922556,0.17505762441896974,0.010329773949744187
Conversion,0.14116757406276542,0.22103463591322262,0.0798670618504572
Réadmission,0.11945713907997475,0.19475665648188564,0.07529951740191089
Réintervention,0.06086863557646097,0.04395680657339551,-0.016911829003065454
