mode,bmi_range,n_high,n_pool,bp_high,bp_pool,fisher_or,fisher_p
tertiles,35-40,24,55,0.375,0.14545454545454545,3.525,0.03572017630459555
tertiles,40-45,3,22,0.3333333333333333,0.045454545454545456,10.5,0.23000000000000004
tertiles,>=35,27,77,0.37037037037037035,0.11688311688311688,4.444444444444445,0.007287080022379289
tertiles,>=40,3,22,0.3333333333333333,0.045454545454545456,10.5,0.23000000000000004
annual_threshold,35-40,15,64,0.5333333333333333,0.140625,6.984126984126984,0.0025192686965332008
annual_threshold,40-45,2,23,0.0,0.08695652173913043,0.0,1.0
annual_threshold,>=35,17,87,0.47058823529411764,0.12643678160919541,6.141414141414141,0.002624639519451964
annual_threshold,>=40,2,23,0.0,0.08695652173913043,0.0,1.0
mipd_annual_threshold,35-40,15,64,0.5333333333333333,0.140625,6.984126984126984,0.0025192686965332008
mipd_annual_threshold,40-45,2,23,0.0,0.08695652173913043,0.0,1.0
mipd_annual_threshold,>=35,17,87,0.47058823529411764,0.12643678160919541,6.141414141414141,0.002624639519451964
mipd_annual_threshold,>=40,2,23,0.0,0.08695652173913043,0.0,1.0
