bmi,prob_low,prob_high,diff_high_minus_low,ci_low,ci_high,p_value,p_adj
30,0.26048007171997145,0.3346347278420483,0.07415465612207683,0.03468309330727496,0.11362621893687871,0.0002312083482267635,0.0002312083482267635
35,0.2146214080521204,0.29328466418256793,0.07866325613044753,0.0447252257629596,0.11260128649793547,5.546305118286909e-06,1.1092610236573819e-05
40,0.17492662373451967,0.2550852608529473,0.08015863711842763,0.05096383185978079,0.10935344237707448,7.38805785438501e-08,2.2164173563155032e-07
