tier,vol_median,bmi_ref,delta_bmi,OR,ci_low,ci_high
Low,27.0,25,5,0.7270488796405353,0.5805000030064656,0.9105944369489868
Mid,59.0,25,5,0.7388009127414084,0.6065754474305866,0.8998497894690994
High,134.0,25,5,0.7670944875012311,0.6391890534415293,0.9205945402014057
