cutoff,tier,n,bp_rate
18.5,Low,15,0.4666666666666667
18.5,Mid,27,0.18518518518518517
18.5,High,19,0.47368421052631576
20.0,Low,49,0.30612244897959184
20.0,Mid,65,0.23076923076923078
20.0,High,65,0.47692307692307695
