tier,vol_median,bmi_ref,delta_bmi,OR,ci_low,ci_high
Low,27.0,25,5,0.7758349853530568,0.6884949211202296,0.8742547054935595
Mid,59.0,25,5,0.7902667795244588,0.7106250418409708,0.8788341896903205
High,134.0,25,5,0.8251520046279,0.7593374721489276,0.8966709213158688
