tier,prob_bmi25,prob_bmi40,ard_40_vs_25
Low,0.31224179832902665,0.17492662373451967,-0.13731517459450698
Mid,0.3314643254186694,0.19659334372727605,-0.13487098169139333
High,0.37869077323125494,0.2550852608529473,-0.12360551237830764
