bmi,pred,ci_low,ci_high
15.431517934434869,0.25106565543296794,0.09509156084484754,0.5167736674626633
15.580103271447758,0.25824185156301177,0.10455348183208261,0.5093415102213222
15.728688608460649,0.2652572114256851,0.11439283049202092,0.502248489458656
15.877273945473538,0.27210005602002924,0.12455669380145414,0.4954956005065837
16.02585928248643,0.27875980021751956,0.13498648672329452,0.48908347356102727
16.17444461949932,0.28522694404700366,0.14561898566614945,0.4830125067702871
16.323029956512208,0.29149305462687586,0.1563874528839257,0.477282989531508
16.471615293525097,0.29755074008611837,0.1672228064479148,0.47189521226328235
16.62020063053799,0.30339361678990606,0.1780547930542473,0.4668495574730683
16.76878596755088,0.3090162711324934,0.1888131270611164,0.4621465649607871
16.91737130456377,0.3144142170859647,0.19942856823479493,0.4577869614497569
17.06595664157666,0.31958385060366,0.20983392192425443,0.45377164185574176
17.21454197858955,0.3245224018767582,0.2199649577521017,0.45010158601199857
17.36312731560244,0.3292278863360548,0.22976125511184345,0.44677769148330126
17.51171265261533,0.3336990551822592,0.23916699415835704,0.4438005011075097
17.66029798962822,0.337935346120305,0.2481317174853625,0.44116980468959033
17.80888332664111,0.3419368348687833,0.25661108776745073,0.4388841000613336
17.957468663654,0.34570418791658347,0.26456765760668494,0.43693991207286453
18.10605400066689,0.34923861690660046,0.2719716476206188,0.435330991059843
18.25463933767978,0.35254183494185637,0.27880169755071715,0.4340474449541924
18.40322467469267,0.35561601503313334,0.28504551705495446,0.4330748974879358
18.551810011705562,0.35846375083944193,0.2907003275327662,0.4323937994708737
18.70039534871845,0.361088019793275,0.295772968066203,0.4319790369085687
18.84898068573134,0.3634921486513824,0.30027955166202996,0.43179996469515464
18.99756602274423,0.3656797814683173,0.304244609228661,0.4318209411938016
19.14615135975712,0.36765484995373837,0.30769974056222116,0.43200235493564426
19.294736696770013,0.36942154614482364,0.310681881628426,0.4323020424762822
19.443322033782902,0.3709842973015333,0.31323136673323965,0.43267692511831995
19.59190737079579,0.37234774291423745,0.31538999089472397,0.4330846636779827
19.74049270780868,0.3735167136997689,0.31719925702654955,0.4334851496084809
19.889078044821574,0.37449621245269665,0.31869893700472335,0.4338417050167216
20.037663381834463,0.37529139661296923,0.3199260069519621,0.43412193177725816
20.186248718847352,0.37590756240854634,0.3209139552096141,0.43429821096962257
20.33483405586024,0.3763501304317417,0.3216924182624617,0.43434789643131894
