group,bmi_group_median,outcome,bmi_ref,bmi_target,OR,ci_low,ci_high
BMI <18.5 (median BMI),17.630853994490355,best_performer,25,17.630853994490355,1.0074004503279956,0.6397606855951926,1.5863051453011547
BMI <20 (median BMI),18.832391713747644,best_performer,25,18.832391713747644,1.1299801065093051,0.8362668681097192,1.5268511641420854
