tier,bmi,prob,ci_low,ci_high
Low,18.5,0.307674094040215,0.2290410272821579,0.3863071607982721
Low,20.0,0.2909518701606187,0.2182685100868511,0.36363523023438626
Mid,18.5,0.3306654215313158,0.25597131298339393,0.40535953007923764
Mid,20.0,0.3158898289084695,0.24625551619565733,0.3855241416212817
High,18.5,0.43354899402925984,0.2979444927880671,0.5691534952704526
High,20.0,0.42930467385748433,0.295641854425011,0.5629674932899577
