tier,bmi,prob,ci_low,ci_high
Low,18.5,0.264037273245298,0.17417350765037198,0.35390103884022406
Low,20.0,0.28095246857805556,0.20761448347052888,0.3542904536855822
Mid,18.5,0.2948551448295038,0.2097486662601314,0.37996162339887624
Mid,20.0,0.31143551988698404,0.24119084200781044,0.38168019776615764
High,18.5,0.4404377594051903,0.24528975527227806,0.6355857635381026
High,20.0,0.4529159610803072,0.3081527405554422,0.5976791816051722
