cutoff,tier,n,bp_rate
18.5,Low,14,0.35714285714285715
18.5,Mid,34,0.2647058823529412
18.5,High,13,0.5384615384615384
20.0,Low,44,0.29545454545454547
20.0,Mid,96,0.2604166666666667
20.0,High,39,0.5897435897435898
