tier,vol_median,bmi_ref,delta_bmi,OR,ci_low,ci_high
Low,3.111111111111111,25,5,0.6962966598310945,0.5594454184796724,0.8666243792102039
Mid,7.25,25,5,0.7370226708471785,0.6139259230032305,0.88480123902481
High,24.416666666666668,25,5,0.9329792379228452,0.7667749601572056,1.1352095512047389
