tier,prob_bmi25,prob_bmi40,ard_40_vs_25
Low,0.3027596859016547,0.16057783267366357,-0.14218185322799112
Mid,0.33819939520715264,0.20317490050332782,-0.13502449470382483
High,0.5010416201009518,0.4564431627779781,-0.044598457322973684
