tier,prob_bmi25,prob_bmi40,ard_40_vs_25
Low,0.32045490371356067,0.17824729031870729,-0.14220761339485338
Mid,0.34115714089721605,0.2041689827391823,-0.13698815815803375
High,0.49649110682178965,0.4489804906321578,-0.04751061618963187
