cutoff,tier,n,bp_rate
18.5,Low,35,0.34285714285714286
18.5,Mid,10,0.1
18.5,High,16,0.5
20.0,Low,98,0.29591836734693877
20.0,Mid,35,0.17142857142857143
20.0,High,46,0.5652173913043478
