tier,bmi,prob,ci_low,ci_high
Low,15.431517934434869,0.351800055818788,0.25865288418000787,0.4449472274575681
Low,15.580103271447758,0.3501007574995874,0.2576747720009153,0.4425267429982595
Low,15.728688608460649,0.34840512054396516,0.2566963409949956,0.4401139000929347
Low,15.877273945473538,0.3467131792799072,0.2557175378807096,0.43770882067910477
Low,16.02585928248643,0.3450249677037203,0.2547383093573638,0.43531162605007684
Low,16.17444461949932,0.3433405194778976,0.25375860212373785,0.4329224368320574
Low,16.323029956512208,0.34165986792904146,0.252778362897653,0.43054137296042994
Low,16.471615293525097,0.3399830460458452,0.25179753843651265,0.4281685536551778
Low,16.62020063053799,0.33831008647713434,0.25081607555887026,0.42580409739539843
Low,16.76878596755088,0.33664102152996594,0.249833921167054,0.4234481218928779
Low,16.91737130456377,0.33497588316778726,0.24885102227090009,0.42110074406467446
Low,17.06595664157666,0.33331470300865396,0.24786732601262038,0.4187620800046875
Low,17.21454197858955,0.33165751232350676,0.24688277969286934,0.4164322449541442
Low,17.36312731560244,0.33000434203450835,0.24589733079802595,0.41411135327099075
Low,17.51171265261533,0.3283552227134385,0.24491092702874645,0.4117995183981305
Low,17.66029798962822,0.326710184580149,0.2439235163298219,0.4094968528304761
Low,17.80888332664111,0.3250692575010784,0.24293504692138265,0.4072034680807741
Low,17.957468663654,0.32343247098782507,0.2419454673314737,0.40491947464417644
Low,18.10605400066689,0.3217998541957806,0.24095472643005567,0.40264498196150555
Low,18.25463933767978,0.3201714359228213,0.2399627734644449,0.40038009838119776
Low,18.40322467469267,0.31854724460806005,0.2389695580962381,0.398124931119882
Low,18.551810011705562,0.3169273083306563,0.2379750304397389,0.3958795862215737
Low,18.70039534871845,0.31531165480868606,0.23697914110191737,0.39364416851545475
Low,18.84898068573134,0.3137003113980697,0.23598184122392402,0.3914187815722154
Low,18.99756602274423,0.31209330509155936,0.23498308252416944,0.3892035276589493
Low,19.14615135975712,0.31049066251778507,0.23398281734299425,0.3869985076925759
Low,19.294736696770013,0.3088924099403588,0.23298099868892536,0.3848038211917923
Low,19.443322033782902,0.3072985732570374,0.2319775802865357,0.3826195662275391
Low,19.59190737079579,0.3057091779989436,0.23097251662589394,0.3804458393719933
Low,19.74049270780868,0.3041242493298448,0.22996576301360566,0.3782827356460839
Low,19.889078044821574,0.30254381204548975,0.2289572756254249,0.3761303484655546
Low,20.037663381834463,0.3009678905730035,0.22794701156042166,0.37398876958558536
Low,20.186248718847352,0.2993965089703382,0.2269349288966746,0.3718580890440018
Low,20.33483405586024,0.29782969092578254,0.22592098674844888,0.36973839510311624
Low,20.48341939287313,0.29626745975752694,0.22490514532482273,0.36762977419023113
Low,20.632004729886024,0.29470983841328596,0.22388736598970418,0.36553231083686777
Low,20.780590066898913,0.29315684946997644,0.2228676113231775,0.3634460876167754
Low,20.929175403911803,0.2916085151334527,0.2218458451841105,0.3613711850827949
Low,21.077760740924692,0.29006485723829534,0.2208220327739358,0.35930768170265487
Low,21.226346077937585,0.2885258972476579,0.2197961407015217,0.35725565379379415
Low,21.374931414950474,0.2869916562531666,0.21876813704902387,0.3552151754573093
Low,21.523516751963363,0.28546215497487554,0.21773799143861217,0.3531863185111389
Low,21.672102088976253,0.2839374137612761,0.2167056750999433,0.35116915242260893
Low,21.820687425989142,0.2824174525893605,0.21567116093824729,0.34916374424047375
Low,21.96927276300203,0.28090229106473824,0.21463442360288362,0.34717015852659283
Low,22.117858100014924,0.279391948421806,0.21359543955620724,0.3451884572874047
Low,22.266443437027814,0.27788644352397096,0.21255418714258156,0.34321869990536036
Low,22.415028774040703,0.2763857948639252,0.21151064665735475,0.3412609430704957
Low,22.563614111053596,0.27489002056397277,0.21046480041561239,0.33931524071233315
Low,22.712199448066485,0.27339913837640833,0.20941663282051368,0.33738164393230297
Low,22.860784785079375,0.271913165683946,0.20836613043099023,0.3354602009369018
Low,23.009370122092264,0.27043211950019985,0.2073132820285996,0.3335509569718001
Low,23.157955459105153,0.26895601647021333,0.2062580786833074,0.3316539542571193
Low,23.306540796118043,0.26748487287103917,0.20520051381795554,0.3297692319241228
Low,23.455126133130936,0.266018704612368,0.20414058327118279,0.3278968259535532
Low,23.603711470143825,0.2645575272372057,0.203078285358555,0.32603676911585644
Low,23.752296807156714,0.26310135592259865,0.20201362093164066,0.32418909091355663
Low,23.900882144169607,0.26165020548040685,0.2009465934347907,0.322353817526023
Low,24.049467481182496,0.2602040903581242,0.19987720895936106,0.32053097175688733
Low,24.198052818195386,0.2587630246397446,0.1988054762951129,0.3187205729843763
Low,24.346638155208275,0.25732702204667524,0.19773140697855063,0.31692263711479984
Low,24.495223492221164,0.2558960959386941,0.19665501533792376,0.3151371765394645
Low,24.643808829234054,0.25447025931495376,0.1955763185346578,0.31336420009524973
Low,24.792394166246947,0.2530495248150278,0.19449533660095877,0.31160371302909684
Low,24.940979503259836,0.251633904720003,0.19341209247335867,0.3098557169666474
Low,25.089564840272725,0.2502234109536131,0.19232661202197074,0.30812020988525546
Low,25.23815017728562,0.2488180550834158,0.19123892407523638,0.3063971860915953
Low,25.386735514298508,0.24741784832201238,0.19014906043996044,0.30468663620406433
Low,25.535320851311397,0.246022801528308,0.1890570559164377,0.3029885471401783
Low,25.683906188324286,0.24463292520881294,0.18796294830849863,0.30130290210912725
Low,25.832491525337176,0.2432482295189849,0.18686677842831614,0.2996296806096536
Low,25.981076862350065,0.2418687242646097,0.18576859009582755,0.2979688584333918
Low,26.129662199362958,0.2404944189032224,0.1846684301326612,0.2963204076737836
Low,26.278247536375847,0.23912532254556598,0.18356634835045793,0.29468429674067403
Low,26.426832873388737,0.23776144395708793,0.18246239753352048,0.2930604903806554
Low,26.57541821040163,0.23640279155947433,0.18135663341573605,0.2914489497032126
Low,26.72400354741452,0.23504937343222068,0.18024911465173715,0.2898496322127042
Low,26.872588884427408,0.2337011973142378,0.17913990278231093,0.28826249184616465
Low,27.021174221440297,0.23235827060549413,0.17802906219406434,0.28668747901692393
Low,27.169759558453187,0.23102060036869215,0.17691666007340368,0.28512454066398063
Low,27.318344895466076,0.2296881933309787,0.17580276635489583,0.28357362030706157
Low,27.466930232478965,0.2283610558856892,0.17468745366411415,0.28203465810726425
Low,27.61551556949186,0.22703919409412412,0.17357079725508912,0.28050759093315913
Low,27.764100906504748,0.22572261368735805,0.17245287494251585,0.2789923524322003
Low,27.91268624351764,0.22441132006807982,0.17133376702888797,0.27748887310727166
Low,28.06127158053053,0.2231053183124637,0.17021355622675505,0.27599708039817233
Low,28.20985691754342,0.22180461317207062,0.16909232757631926,0.274516898767822
Low,28.35844225455631,0.22050920907577903,0.16797016835860828,0.2730482497929498
Low,28.507027591569198,0.21921911013174458,0.1668471680044817,0.2715910522590075
Low,28.655612928582087,0.2179343201293881,0.16572341799974213,0.2701452222590341
Low,28.804198265594977,0.21665484254141068,0.16459901178664127,0.2687106732961801
Low,28.95278360260787,0.2153806805258366,0.16347404466208226,0.2672873163895909
Low,29.10136893962076,0.2141118369280815,0.1623486136728327,0.2658750601833303
Low,29.24995427663365,0.21284831428304682,0.1612228175080721,0.26447381105802154
Low,29.39853961364654,0.21159011481723894,0.1600967563896034,0.26308347324487447
Low,29.54712495065943,0.21033724045091248,0.15897053196006888,0.2617039489417561
Low,29.69571028767232,0.20908969280023781,0.15784424716950576,0.2603351384309699
Low,29.84429562468521,0.2078474731794907,0.15671800616058834,0.25897694019839307
Low,29.9928809616981,0.20661058260326506,0.15559191415289342,0.2576292510536367
Low,30.141466298710988,0.20537902178870712,0.15446607732653114,0.25629196625088313
Low,30.29005163572388,0.20415279115777055,0.1533406027054719,0.2549649796100692
Low,30.43863697273677,0.20293189083949212,0.1522155980409016,0.2536481836380826
Low,30.587222309749663,0.20171632067228712,0.1510911716949203,0.2523414696496539
Low,30.735807646762552,0.20050608020626387,0.14996743252489902,0.2510447278876287
Low,30.88439298377544,0.19930116870555672,0.14884448976879192,0.24975784764232153
Low,31.03297832078833,0.19810158515067702,0.147722452931693,0.24848071736966104
Low,31.18156365780122,0.19690732824088114,0.1466014316739085,0.2472132248078538
Low,31.33014899481411,0.19571839639655522,0.1454815357008093,0.24595525709230115
Low,31.478734331827003,0.19453478776161576,0.1443628746547016,0.2447067008685299
Low,31.627319668839892,0.19335650020592565,0.1432455580089498,0.2434674424029015
Low,31.77590500585278,0.19218353132772514,0.14212969496456024,0.24223736769089005
Low,31.92449034286567,0.19101587845607643,0.14101539434941995,0.2410163625627329
Low,32.073075679878556,0.18985353865332194,0.1399027645203701,0.2398043127862738
Low,32.22166101689145,0.18869650871755583,0.13879191326827192,0.23860110416683974
Low,32.37024635390434,0.18754478518510756,0.13768294772620907,0.23740662264400605
Low,32.51883169091723,0.18639836433303672,0.13657597428094914,0.2362207543851243
Low,32.66741702793012,0.1852572421816396,0.13547109848777475,0.23504338587550447
Low,32.81600236494302,0.18412141449696598,0.13436842498877288,0.23387440400515908
Low,32.96458770195591,0.1829908767933458,0.13326805743465864,0.23271369615203297
Low,33.113173038968796,0.1818656243359253,0.13217009841018948,0.2315611502616611
Low,33.261758375981685,0.1807456521432113,0.13107464936321614,0.23041665492320648
Low,33.410343712994575,0.179630954989625,0.12998181053739533,0.22928009944185468
Low,33.558929050007464,0.17852152740806176,0.12889168090858033,0.2281513739075432
Low,33.70751438702035,0.1774173636924591,0.12780435812488963,0.2270303692600286
Low,33.85609972403324,0.1763184579003708,0.1267199384504426,0.22591697735029898
Low,34.00468506104613,0.17522480385554673,0.12563851671273604,0.22481109099835742
Low,34.15327039805902,0.1741363951505184,0.1245601862536315,0.2237126040474053
Low,34.30185573507191,0.1730532251491892,0.12348503888390472,0.22262141141447367
Low,34.4504410720848,0.17197528698942904,0.12241316484130586,0.2215374091375522
Low,34.59902640909769,0.17090257358567257,0.12134465275206588,0.22046049441927926
Low,34.74761174611058,0.16983507763152078,0.12027958959578142,0.21939056566726015
Low,34.896197083123475,0.1687727916023455,0.11921806067360036,0.21832752253109067
Low,35.044782420136364,0.16771570775789585,0.11816014957962492,0.21727126593616677
Low,35.193367757149254,0.16666381814490674,0.11710593817544296,0.21622169811437053
Low,35.34195309416214,0.16561711459970793,0.11605550656769899,0.2151787226317169
Low,35.49053843117504,0.1645755887508347,0.11500893308860144,0.21414224441306795
Low,35.63912376818793,0.16353923202163828,0.11396629427927397,0.2131121697640026
Low,35.78770910520082,0.16250803563289587,0.11292766487584335,0.2120884063899484
Low,35.93629444221371,0.16148199060542032,0.11189311779815969,0.21107086341268094
Low,36.0848797792266,0.16046108776266835,0.11086272414104878,0.21005945138428792
Low,36.233465116239486,0.1594453177333474,0.1098365531679813,0.20905408229871353
Low,36.382050453252376,0.1584346709540201,0.10881467230706168,0.20805466960097854
Low,36.530635790265265,0.1574291376717062,0.10779714714922062,0.20706112819419176
Low,36.679221127278154,0.15642870794648184,0.10678404144851365,0.20607337444445
Low,36.827806464291044,0.15543337165407495,0.10577541712441185,0.20509132618373804
Low,36.97639180130393,0.1544431184884571,0.10477133426598839,0.2041149027109258
Low,37.12497713831682,0.15345793796443077,0.1037718511378925,0.20314402479096905
Low,37.27356247532971,0.1524778194202125,0.10277702418801152,0.20217861465241346
Low,37.4221478123426,0.1515027520200101,0.10178690805672477,0.20121859598329542
Low,37.5707331493555,0.15053272475659507,0.10080155558764792,0.20026389392554222
Low,37.71931848636839,0.14956772645386884,0.09982101783977754,0.19931443506796015
Low,37.867903823381276,0.14860774576942265,0.09884534410094178,0.19837014743790352
Low,38.016489160394165,0.14765277119709075,0.09787458190246945,0.19743096049171205
Low,38.165074497407055,0.1467027910694969,0.09690877703499012,0.1964968051040037
Low,38.31365983441995,0.14575779356059287,0.0959479735652832,0.19556761355590255
Low,38.46224517143284,0.1448177666881898,0.09499221385409387,0.19464331952228572
Low,38.61083050844573,0.14388269831648096,0.0940415385748418,0.19372385805812012
Low,38.75941584545862,0.14295257615855622,0.09309598673314196,0.1928091655839705
Low,38.90800118247151,0.14202738777890758,0.09215559568707377,0.1918991798707414
Low,39.0565865194844,0.14110712059592592,0.09122040116812527,0.19099384002372657
Low,39.20517185649729,0.14019176188438784,0.09029043730274512,0.19009308646603057
Low,39.35375719351018,0.13928129877793285,0.08936573663444891,0.1891968609214168
Low,39.502342530523066,0.1383757182715306,0.08844633014640779,0.18830510639665343
Low,39.650927867535955,0.13747500722393746,0.08753224728447467,0.18741776716340025
Low,39.799513204548845,0.13657915236014276,0.08662351598058557,0.18653478873969995
Low,39.948098541561734,0.1356881402738034,0.08572016267648876,0.18565611787111808
Low,40.09668387857462,0.13480195742966797,0.08482221234775454,0.18478170251158138
Low,40.24526921558752,0.1339205901659886,0.08392968852801741,0.18391149180395977
Low,40.39385455260041,0.1330440246969215,0.08304261333340746,0.18304543606043555
Low,40.5424398896133,0.13217224711491496,0.08216100748713392,0.182183486742696
Low,40.69102522662619,0.1313052433930853,0.08128489034417746,0.18132559644199314
Low,40.83961056363908,0.13044299938758033,0.08041427991606057,0.1804717188591001
Low,40.988195900651974,0.1295855008399291,0.07954919289565648,0.1796218087842017
Low,41.13678123766486,0.12873273337938013,0.07868964468201284,0.17877582207674741
Low,41.28536657467775,0.12788468252522447,0.07783564940515052,0.17793371564529842
Low,41.43395191169064,0.1270413336891067,0.07698721995082108,0.1770954474273923
Low,41.58253724870353,0.1262026721773215,0.0761443679851884,0.17626097636945462
Low,41.73112258571642,0.12536868319309608,0.07530710397941556,0.1754302624067766
Low,41.87970792272931,0.12453935183885882,0.07447543723413222,0.17460326644358543
Low,42.0282932597422,0.12371466311849345,0.07364937590376709,0.1737799503332198
Low,42.17687859675509,0.12289460193957846,0.07282892702071733,0.1729602768584396
Low,42.32546393376798,0.12207915311561181,0.07201409651934743,0.1721442097118762
Low,42.47404927078087,0.12126830136822087,0.07120488925979611,0.1713317134766456
Low,42.622634607793756,0.120462031329357,0.07040130905157721,0.17052275360713678
Low,42.771219944806646,0.119660327543475,0.0696033586769641,0.1697172964099859
Low,42.919805281819535,0.11886317446969699,0.06881103991413967,0.1689153090252543
Low,43.06839061883243,0.11807055648396074,0.06802435356010836,0.16811675940781312
Low,43.21697595584532,0.1172824578811524,0.06724329945335494,0.16732161630894984
Low,43.36556129285821,0.1164988628772229,0.06646787649624337,0.1665298492582024
Low,43.5141466298711,0.11571975561128867,0.06569808267714622,0.1657414285454311
Low,43.662731966883996,0.11494512014771618,0.06493391509229904,0.16495632520313333
Low,43.811317303896885,0.11417494047819009,0.06417536996737647,0.1641745109890037
Low,43.959902640909775,0.11340920052376467,0.06342244267877695,0.1633959583687524
Low,44.108487977922664,0.11264788413689932,0.06267512777461703,0.1626206404991816
Low,44.25707331493555,0.11189097510347679,0.061933418995431866,0.1618485312115217
Low,44.40565865194844,0.1111384571448052,0.06119730929457775,0.16107960499503265
Low,44.55424398896133,0.11039031391960276,0.06046679085832888,0.16031383698087665
Low,44.70282932597422,0.10964652902596574,0.05974185512567563,0.15955120292625585
Low,44.85141466298711,0.10890708600331929,0.0590224928078138,0.15879167919882478
Low,45.0,0.10817196833435148,0.058308693907331156,0.15803524276137182
Mid,15.431517934434869,0.36206984821406296,0.2736779565236551,0.4504617399044708
Mid,15.580103271447758,0.36051376052782874,0.2727466792501603,0.4482808418054972
Mid,15.728688608460649,0.3589604903435606,0.27181501046323353,0.44610597022388765
Mid,15.877273945473538,0.35741006451984514,0.2708829088238622,0.4439372202158281
Mid,16.02585928248643,0.35586250970313166,0.26995033291288933,0.441774686493374
Mid,16.17444461949932,0.35431785232622215,0.26901724124334503,0.43961846340909927
Mid,16.323029956512208,0.35277611860679253,0.26808359227341333,0.43746864494017174
Mid,16.471615293525097,0.35123733454594586,0.26714934442008736,0.43532532467180435
Mid,16.62020063053799,0.3497015259267967,0.2662144560735159,0.4331885957800775
Mid,16.76878596755088,0.3481687183130877,0.26527888561208657,0.43105855101408885
Mid,16.91737130456377,0.3466389370478363,0.2643425914182606,0.42893528267741204
Mid,17.06595664157666,0.34511220725201597,0.2634055318951974,0.42681888260883455
Mid,17.21454197858955,0.3435885538232664,0.2624676654841837,0.4247094421623491
Mid,17.36312731560244,0.34206800143463867,0.2615289506829078,0.4226070521863695
Mid,17.51171265261533,0.34055057453336973,0.26058934606459705,0.4205118030021424
Mid,17.66029798962822,0.33903629733969093,0.25964881029804476,0.4184237843813371
Mid,17.80888332664111,0.3375251938456684,0.25870730216856314,0.4163430855227737
Mid,17.957468663654,0.3360172878140753,0.2577647805998689,0.4142697950282817
Mid,18.10605400066689,0.33451260277729655,0.2568212046769472,0.4122040008776459
Mid,18.25463933767978,0.33301116203626624,0.2558765336699027,0.4101457904026298
Mid,18.40322467469267,0.3315129886594368,0.2549307270588235,0.40809525026005006
Mid,18.551810011705562,0.3300181054817813,0.2539837445596861,0.4060524664038765
Mid,18.70039534871845,0.32852653510382795,0.2530355461513073,0.4040175240563486
Mid,18.84898068573134,0.3270382998907266,0.2520860921033755,0.40199050767807765
Mid,18.99756602274423,0.32555342197134834,0.2511353430055685,0.3999715009371282
Mid,19.14615135975712,0.32407192323741746,0.2501832597977726,0.3979605866770623
Mid,19.294736696770013,0.32259382534267494,0.24922980380141627,0.39595784688393365
Mid,19.443322033782902,0.32111914970207583,0.24827493675192824,0.3939633626522234
Mid,19.59190737079579,0.31964791749101795,0.24731862083232037,0.39197721414971554
Mid,19.74049270780868,0.318180149644603,0.24636081870790477,0.38999948058130124
Mid,19.889078044821574,0.31671586685693076,0.24540149356214078,0.3880302401517207
Mid,20.037663381834463,0.3152550895804247,0.24444060913360807,0.3860695700272413
Mid,20.186248718847352,0.31379783802519035,0.24347812975409672,0.384117546296284
Mid,20.33483405586024,0.3123441321584053,0.24251402038780534,0.38217424392900523
Mid,20.48341939287313,0.310893991703742,0.24154824667162728,0.3802397367358567
Mid,20.632004729886024,0.3094474361408221,0.24058077495650293,0.37831409732514126
Mid,20.780590066898913,0.30800448470470276,0.23961157234981711,0.3763973970595884
Mid,20.929175403911803,0.3065651563853952,0.2386406067588016,0.37448970601198883
Mid,21.077760740924692,0.30512946992741413,0.2376678469349125,0.37259109291991577
Mid,21.226346077937585,0.3036974438293599,0.23669326251913686,0.370701625139583
Mid,21.374931414950474,0.30226909634353183,0.2357168240881812,0.3688213685988825
Mid,21.523516751963363,0.3008444454755724,0.23473850320148448,0.36695038774966027
Mid,21.672102088976253,0.29942350898414366,0.23375827244899877,0.36508874551928855
Mid,21.820687425989142,0.2980063043806345,0.2327761054996659,0.36323650326160317
Mid,21.96927276300203,0.2965928489288986,0.23179197715051747,0.3613937207072797
Mid,22.117858100014924,0.295183159645024,0.2308058633763227,0.3595604559137253
Mid,22.266443437027814,0.29377725329713306,0.22981774137968625,0.35773676521457987
Mid,22.415028774040703,0.29237514640521317,0.22882758964151176,0.3559227031689146
Mid,22.563614111053596,0.2909768552409778,0.22783538797172614,0.3541183225102295
Mid,22.712199448066485,0.28958239582775824,0.2268411175601565,0.35232367409536
Mid,22.860784785079375,0.28819178394042544,0.22584476102744885,0.35053880685340205
