tier,vol_median,bmi_ref,delta_bmi,OR,ci_low,ci_high
Low,5.545454545454546,25,5,0.7048275222693772,0.5646919135170757,0.8797395965071972
Mid,12.25,25,5,0.7354827366539135,0.607761357896633,0.890044832379638
High,58.416666666666664,25,5,0.9860291901896395,0.8794081890742481,1.105577109680462
