tier,vol_median,bmi_ref,delta_bmi,OR,ci_low,ci_high
Low,27.0,25,5,0.7758349853530577,0.68849492112021,0.8742547054935865
Mid,59.0,25,5,0.7902667795244597,0.7106250418409512,0.8788341896903465
High,134.0,25,5,0.8251520046279006,0.759337472148923,0.8966709213158757
