bmi,prob_low,prob_high,diff_high_minus_low,ci_low,ci_high,p_value,p_adj
30,0.24541756874329448,0.4698427177815804,0.2244251490382859,0.0980266175615579,0.3508236805150139,0.0005013189899354398,0.0010026379798708795
35,0.18113928096530954,0.49926775256646533,0.31812847160115576,0.16807364573558783,0.4681832974667237,3.2477592308177705e-05,9.743277692453312e-05
40,0.13697792070644027,0.5235441323233411,0.3865662116169008,0.03030882338209856,0.742823599851703,0.03344100669583017,0.03344100669583017
