tier,prob_bmi25,prob_bmi40,ard_40_vs_25
Low,0.32591300471149115,0.14755838305100374,-0.1783546216604874
Mid,0.3433462683917943,0.1781569787626174,-0.16518928962917687
High,0.3858299265053147,0.26863700401889323,-0.11719292248642149
