tier,prob_bmi25,prob_bmi40,ard_40_vs_25
Low,0.31224179832902144,0.17492662373451676,-0.13731517459450468
Mid,0.33146432541866483,0.1965933437272733,-0.13487098169139153
High,0.3786907732312521,0.2550852608529456,-0.12360551237830653
