tier,vol_median,bmi_ref,delta_bmi,OR,ci_low,ci_high
Low,27.0,25,5,0.7270488796405349,0.5805000030064642,0.9105944369489878
Mid,59.0,25,5,0.738800912741408,0.6065754474306059,0.8998497894690699
High,134.0,25,5,0.7670944875012308,0.63918905344158,0.920594540201332
