tier,bmi,prob,ci_low,ci_high
Low,18.0,0.2623399194748831,0.15994858087615987,0.36473125807360635
Low,18.1356783919598,0.2649503435176026,0.16650103561395535,0.36339965142124986
Low,18.271356783919597,0.26742029682898283,0.17260629387693566,0.36223429978103
Low,18.407035175879397,0.269750006405282,0.17826296237185002,0.361237050438714
Low,18.542713567839197,0.2719399520477036,0.18347327086899323,0.360406633226414
Low,18.678391959798994,0.27399085257870587,0.18824314706568845,0.3597385580917233
Low,18.814070351758794,0.27590365237816344,0.1925821878957013,0.3592251168606256
Low,18.949748743718594,0.2776795082878526,0.19650350732617428,0.3588555092495309
Low,19.08542713567839,0.279319776921954,0.20002345175969172,0.35861610208421624
Low,19.22110552763819,0.28082600241154343,0.20316118822594614,0.3584908165971407
Low,19.35678391959799,0.28219990460237027,0.20593818513116358,0.35846162407357696
Low,19.492462311557787,0.28344336771756057,0.2083776175961235,0.35850911783899764
Low,19.628140703517587,0.28455842949020493,0.2105037369811512,0.35861312199925865
Low,19.763819095477388,0.28554727076503267,0.212341245851527,0.3587532956785383
Low,19.899497487437188,0.2864122055634968,0.2139147155965401,0.3589096955304535
Low,20.035175879396984,0.28715567160252226,0.21524807561280407,0.35906326759224044
Low,20.170854271356784,0.28778022125385827,0.2163641924784021,0.35919625002931443
Low,20.30653266331658,0.2882885129283459,0.21728454695902216,0.35929247889766963
Low,20.44221105527638,0.2886833028674159,0.2180290075910173,0.3593375981438145
Low,20.57788944723618,0.2889674373226965,0.21861569286347873,0.35931918178191424
Low,20.71356783919598,0.2891438451036856,0.219060909884772,0.35922678032259925
Low,20.849246231155778,0.28921553047296467,0.21937915559568866,0.3590519053502407
Low,20.984924623115578,0.28918556636834847,0.2195831665506628,0.35878796618603415
Low,21.12060301507538,0.2890570879316274,0.21968400443477182,0.35843017142848294
Low,21.256281407035175,0.2888332863241147,0.21969116628290852,0.3579754063653209
Low,21.391959798994975,0.2885174028100199,0.21961271040500674,0.3574220952150331
Low,21.527638190954775,0.28811272308967906,0.21945539101593953,0.3567700551634186
Low,21.66331658291457,0.2876225718658634,0.21922479635464315,0.3560203473770836
Low,21.798994974874372,0.28705030762769607,0.21892548657560446,0.3551751286797877
Low,21.934673366834172,0.2863993176381313,0.2185611288877999,0.35423750638846274
Low,22.07035175879397,0.2856730131124305,0.21813462831782848,0.3532113979070325
Low,22.20603015075377,0.2848748245766019,0.21764825312000793,0.3521013960331959
Low,22.34170854271357,0.2840081973963184,0.21710375428818462,0.35091264050445214
Low,22.47738693467337,0.28307658746836417,0.21650247888393048,0.34965069605279786
Low,22.613065326633166,0.2820834570681872,0.2158454770225182,0.3483214371138562
Low,22.748743718592966,0.2810322708485997,0.21513360238622892,0.3469309393109705
Low,22.884422110552762,0.27992649198609315,0.21436760609448313,0.34548537787770317
Low,23.020100502512562,0.2787695784725739,0.21354822367839438,0.3439909332667534
Low,23.155778894472363,0.27756497955159165,0.21267625480675073,0.34245370429643257
Low,23.291457286432163,0.27631613229929897,0.21175263531123767,0.34087962928736026
Low,23.42713567839196,0.2750264583514504,0.21077850097810413,0.33927441572479666
Low,23.56281407035176,0.273699360778712,0.2097552425254231,0.33764347903200087
Low,23.698492462311556,0.2723382211134021,0.20868455117990187,0.33599189104690236
Low,23.834170854271356,0.2709463965315223,0.20756845431090054,0.33432433875214407
Low,23.969849246231156,0.269527217194561,0.2064093406731097,0.33264509371601236
Low,24.105527638190956,0.26808398375605824,0.20520997494943216,0.3309579925626843
Low,24.241206030150753,0.26661996503831803,0.20397350146339863,0.3292664286132374
Low,24.376884422110553,0.2651383958849363,0.20270343713305464,0.327573354636818
Low,24.51256281407035,0.26364247519499495,0.20140365394997364,0.3258812964400163
Low,24.64824120603015,0.26213536414484756,0.20007835147059289,0.32419237681910223
Low,24.78391959798995,0.26062018460340886,0.19873201998564055,0.32250834922117716
Low,24.91959798994975,0.25910001774675134,0.19736939517211946,0.3208306403213832
Low,25.055276381909547,0.25757788898674266,0.19599539048850195,0.3191603874849834
Low,25.190954773869347,0.2560557746138323,0.19461395114367883,0.3174975980839857
Low,25.326633165829147,0.2545339583733707,0.19322708453035922,0.31584083221638215
Low,25.462311557788944,0.2530125647147228,0.1918363315941073,0.31418879783533826
Low,25.597989949748744,0.251491717448002,0.19044295026906227,0.3125404846269417
Low,25.733668341708544,0.24997153972092098,0.18904793811415715,0.3108951413276848
Low,25.869346733668344,0.2484521539957892,0.1876520544953802,0.3092522534961982
Low,26.00502512562814,0.2469336820266712,0.18625584216636804,0.3076115218869744
Low,26.14070351758794,0.2454162448367179,0.1848596481472245,0.3059728415262113
Low,26.276381909547737,0.2438999626956848,0.18346364383925018,0.30433628155211945
Low,26.412060301507537,0.24238495509764868,0.18206784434240658,0.3027020658528908
Low,26.547738693467338,0.24087134073893554,0.18067212696394352,0.30107055451392756
Low,26.683417085427138,0.23935923749627352,0.17927624892180025,0.2994422260707468
Low,26.819095477386934,0.23784876240518124,0.17787986425623056,0.2978176605541319
Low,26.954773869346734,0.2363400316386047,0.1764825399685054,0.29619752330870397
Low,27.09045226130653,0.234833160485815,0.17508377140743667,0.2945825495641934
Low,27.22613065326633,0.23332826333157772,0.17368299692354977,0.29297352973960566
Low,27.36180904522613,0.2318254536356065,0.17227961180774637,0.29137129546346663
Low,27.49748743718593,0.23032484391231092,0.17087298152682584,0.289776706297796
Low,27.63316582914573,0.22882654571085156,0.16946245426281506,0.28819063715888804
Low,27.768844221105528,0.22733066959551138,0.16804737275719675,0.28661396643382603
