bmi,comparison,diff,ci_low,ci_high
18.0,High-Low,0.11009945117318676,-0.06017638519353968,0.2803752875399132
18.0,High-Mid,0.09720774572758761,-0.05460959053811737,0.2490250819932926
18.1356783919598,High-Low,0.11437345994556508,-0.04911161252304083,0.277858532414171
18.1356783919598,High-Mid,0.10099385561109098,-0.04478698879556761,0.24677470001774957
18.271356783919597,High-Low,0.11838004538846247,-0.03896499185926236,0.27572508263618734
18.271356783919597,High-Mid,0.10454227775616998,-0.03577418469782309,0.24485874021016305
18.407035175879397,High-Low,0.12212123314497869,-0.029742213983340177,0.2739846802732976
18.407035175879397,High-Mid,0.10785482304334543,-0.0275783303203066,0.24328797640699745
18.542713567839197,High-Low,0.1256001264153518,-0.02143738625007427,0.27263763908077787
18.542713567839197,High-Mid,0.11093429598547455,-0.020195858336342687,0.2420644503072918
18.678391959798994,High-Low,0.1288207651530051,-0.014033114670669034,0.27167464497667926
18.678391959798994,High-Mid,0.11378436047780532,-0.013612597456540948,0.2411813184121516
18.814070351758794,High-Low,0.13178799721806111,-0.007500995331776117,0.27107698976789835
18.814070351758794,High-Mid,0.11640941719884423,-0.007804251596054287,0.24062308599374277
18.949748743718594,High-Low,0.13450736168125388,-0.001802567657350096,0.27081729101985785
18.949748743718594,High-Mid,0.11881449284127232,-0.0027372903126687137,0.24036627599521337
19.08542713567839,High-Low,0.13698498416345883,0.0031092821067669196,0.27086068622015075
19.08542713567839,High-Mid,0.12100514105072097,0.001629759356119767,0.24038052274532218
19.22110552763819,High-Low,0.13922748385513484,0.007288547842256604,0.27116641986801304
19.22110552763819,High-Mid,0.12298735471472555,0.005344691652012762,0.24063001777743834
19.35678391959799,High-Low,0.14124189167771717,0.010794097891330179,0.27168968546410416
19.35678391959799,High-Mid,0.12476748906654345,0.008459794314608624,0.24107518381847826
19.492462311557787,High-Low,0.14303557891721874,0.013687603193224679,0.2723835546412128
19.492462311557787,High-Mid,0.12635219494060745,0.011029963920060018,0.2416744259611549
19.628140703517587,High-Low,0.14461619557110916,0.0160315629407006,0.2732008282015177
19.628140703517587,High-Mid,0.12774836143036922,0.013110911762902869,0.24238581109783558
19.763819095477388,High-Low,0.14599161759565332,0.017887561089791615,0.27409567410151503
19.763819095477388,High-Mid,0.12896306714793215,0.014757580401624767,0.24316855389423953
19.899497487437188,High-Low,0.14716990221571724,0.01931484029246347,0.27502496413897104
19.899497487437188,High-Mid,0.13000353926165203,0.01602284879961828,0.24398422972368577
20.035175879396984,High-Low,0.1481592504567718,0.020369229718880222,0.2759492711946634
20.035175879396984,High-Mid,0.1308771194870415,0.016956558723104698,0.2447976802509783
20.170854271356784,High-Low,0.1489679760744423,0.021102420185253323,0.27683353196363125
20.170854271356784,High-Mid,0.1315912362229073,0.01760485613801624,0.24557761630779837
20.30653266331658,High-Low,0.1496044800862018,0.0215615496217883,0.2776474105506153
20.30653266331658,High-Mid,0.13215338205446253,0.018009813888682072,0.246296950220243
20.44221105527638,High-Low,0.1500772301491618,0.021789045212434688,0.2783654150858889
20.44221105527638,High-Mid,0.13257109588472343,0.018209286869421512,0.24693290490002534
20.57788944723618,High-Low,0.15039474407444897,0.021822663412854854,0.27896682473604306
20.57788944723618,High-Mid,0.13285194900193803,0.018236946314801786,0.2474669516890743
20.71356783919598,High-Low,0.15056557682004634,0.02169567204739678,0.27943548159269593
20.71356783919598,High-Mid,0.13300353444182367,0.018122442599592864,0.24788462628405447
20.849246231155778,High-Low,0.15059831035833626,0.021437126319684252,0.2797594943969883
20.849246231155778,High-Mid,0.1330334590571704,0.017891652898425064,0.24817526521591574
20.984924623115578,High-Low,0.1505015458704672,0.02107220006341698,0.27993089167751745
20.984924623115578,High-Mid,0.13294933776248452,0.017566978685868664,0.2483316968391004
21.12060301507538,High-Low,0.15028389777592427,0.02062254303923569,0.2799452525126128
21.12060301507538,High-Mid,0.13275878947669645,0.017167666665202336,0.24834991228819056
21.256281407035175,High-Low,0.14995398916146824,0.02010664349891539,0.2798013348240211
21.256281407035175,High-Mid,0.13246943434170722,0.01671013434807156,0.24822873433534287
21.391959798994975,High-Low,0.14952044822826688,0.019540182145210888,0.27950071431132284
21.391959798994975,High-Mid,0.13208889184808914,0.01620828776723794,0.24796949592894035
21.527638190954775,High-Low,0.14899190542906854,0.018936368955829452,0.2790474419023076
21.527638190954775,High-Mid,0.13162477955110025,0.01567382364025799,0.2475757354619425
21.66331658291457,High-Low,0.14837699101832386,0.018306258262931113,0.2784477237737166
21.66331658291457,High-Mid,0.13108471211000128,0.015116511850787426,0.24705291236921512
21.798994974874372,High-Low,0.14768433278694232,0.017659040222320926,0.27770962535156374
21.798994974874372,High-Mid,0.13047630043120145,0.014544456592674948,0.24640814426972796
21.934673366834172,High-Low,0.1469225537996824,0.017002308620204742,0.27684279897916003
21.934673366834172,High-Mid,0.12980715074082427,0.013964336158619042,0.24564996532302952
22.07035175879397,High-Low,0.146100269996837,0.016342306078315633,0.27585823391535835
22.07035175879397,High-Mid,0.1290848634547132,0.013381622357278841,0.24478810455214756
22.20603015075377,High-Low,0.14522608756274924,0.01568414832033274,0.27476802680516577
22.20603015075377,High-Mid,0.12831703175356357,0.012800781082943788,0.24383328242418334
22.34170854271357,High-Low,0.14430860000165674,0.015032029403729025,0.2735851705995844
22.34170854271357,High-Mid,0.12751123980766982,0.012225455775975377,0.24279702383936425
22.47738693467337,High-Low,0.14335638489630487,0.014389409815370846,0.2723233599772389
22.47738693467337,High-Mid,0.1266750606295981,0.011658635503640852,0.24169148575555535
