tier,bmi,prob,ci_low,ci_high
Low,18.0,0.31336174960069324,0.2326138831796721,0.39410961602171435
Low,18.1356783919598,0.31181288904486115,0.23164506428987894,0.39198071379984334
Low,18.271356783919597,0.3102680944866455,0.2306757423919203,0.3898604465813707
Low,18.407035175879397,0.30872738939225186,0.22970588497207192,0.3877488938124318
Low,18.542713567839197,0.3071907969108846,0.22873545998285433,0.38564613383891483
Low,18.678391959798994,0.3056583398741166,0.22776443586866793,0.3835522438795653
Low,18.814070351758794,0.30413004079530576,0.2267927815921042,0.3814672999985073
Low,18.949748743718594,0.3026059218690584,0.22582046666093158,0.3793913770771852
Low,19.08542713567839,0.30108600497073845,0.2248474611557516,0.3773245487857253
Low,19.22110552763819,0.29957031165602305,0.22387373575831476,0.37526688755373133
Low,19.35678391959799,0.2980588631605037,0.2228992617804897,0.37321846454051766
Low,19.492462311557787,0.29655168039933394,0.22192401119386826,0.3711793496047996
Low,19.628140703517587,0.29504878396692186,0.22094795665999628,0.36914961127384743
Low,19.763819095477388,0.2935501941366679,0.21997107156120121,0.36712931671213456
Low,19.899497487437188,0.2920559308607484,0.21899333003201277,0.365118531689484
Low,20.035175879396984,0.29056601376994273,0.2180147069911278,0.36311732054875767
Low,20.170854271356784,0.2890804621735065,0.21703517817391693,0.3611257461730961
Low,20.30653266331658,0.28759929505908816,0.21605472016541993,0.3591438699527564
Low,20.44221105527638,0.28612253109268876,0.21507331043380704,0.35717175175157045
Low,20.57788944723618,0.28465018861866787,0.21409092736426422,0.3552094498730715
Low,20.71356783919598,0.28318228565979053,0.21310755029326128,0.3532570210263198
Low,20.849246231155778,0.2817188399173186,0.21212315954315072,0.35131452029148647
Low,20.984924623115578,0.28025986877114467,0.21113773645705763,0.3493820010852317
Low,21.12060301507538,0.2788053892799684,0.21015126343399693,0.34745951512593987
Low,21.256281407035175,0.2773554181815153,0.20916372396416713,0.3455471123988635
Low,21.391959798994975,0.27590997189279703,0.2081751026643543,0.3436448411212398
Low,21.527638190954775,0.27446906651041353,0.20718538531338287,0.3417527477074442
Low,21.66331658291457,0.273032717810896,0.2061945588875439,0.3398708767342481
Low,21.798994974874372,0.2716009412510912,0.2052026115959273,0.3379992709062551
Low,21.934673366834172,0.2701737519685859,0.20420953291558047,0.3361379710215913
Low,22.07035175879397,0.26875116478217115,0.20321531362641168,0.33428701593793064
Low,22.20603015075377,0.2673331941923468,0.20221994584575823,0.3324464425389354
Low,22.34170854271357,0.2659198543818653,0.20122342306252874,0.33061628570120183
Low,22.47738693467337,0.2645111592163136,0.20022574017082784,0.3287965782617993
Low,22.613065326633166,0.263107122244735,0.19922689350297407,0.3269873509864959
Low,22.748743718592966,0.26170775670028806,0.19822688086181278,0.32518863253876334
Low,22.884422110552762,0.2603130755009436,0.19722570155222632,0.32340044944966095
Low,23.020100502512562,0.2589230912502189,0.1962233564117385,0.3216228260886993
Low,23.155778894472363,0.2575378162379492,0.1952198478401182,0.3198557846357802
Low,23.291457286432163,0.2561572624410954,0.19421517982787145,0.3180993450543193
Low,23.42713567839196,0.25478144152458737,0.19320935798352173,0.316353525065653
Low,23.56281407035176,0.2534103648422039,0.19220238955957525,0.3146183401248326
Low,23.698492462311556,0.2520440434374869,0.19119428347706297,0.3128938033979108
Low,23.834170854271356,0.2506824880446905,0.19018505034855873,0.31117992574082226
Low,23.969849246231156,0.24932570908976529,0.18917470249956878,0.30947671567996177
Low,24.105527638190956,0.24797371669137497,0.18816325398819084,0.3077841793945591
Low,24.241206030150753,0.2466265206619474,0.18715072062294527,0.30610232070094956
Low,24.376884422110553,0.24528413050875825,0.18613711997867968,0.3044311410388368
Low,24.51256281407035,0.24394655543504704,0.18512247141045143,0.3027706394596426
Low,24.64824120603015,0.2426138043411653,0.1841067960653042,0.3011208126170264
Low,24.78391959798995,0.24128588582575586,0.18309011689184573,0.299481654759666
Low,24.91959798994975,0.23996280818696378,0.18207245864754762,0.29785315772637994
Low,25.055276381909547,0.23864457942367714,0.18105384790369458,0.29623531094365974
Low,25.190954773869347,0.23733120723679837,0.18003431304790937,0.29462810142568735
Low,25.326633165829147,0.23602269903054493,0.17901388428419013,0.29303151377689973
Low,25.462311557788944,0.23471906191377911,0.17799259363040493,0.2914455301971533
Low,25.597989949748744,0.23342030270136643,0.1769704749131935,0.28987013048953936
Low,25.733668341708544,0.2321264279155622,0.17594756376023124,0.28830529207089317
Low,25.869346733668344,0.23083744378742563,0.1749238975898264,0.28675098998502485
Low,26.00502512562814,0.22955335625826095,0.17389951559782055,0.28520719691870133
Low,26.14070351758794,0.2282741709810852,0.17287445874177787,0.28367388322039255
Low,26.276381909547737,0.2269998933221224,0.17184876972245575,0.28215101692178907
Low,26.412060301507537,0.22573052836232269,0.17082249296255478,0.28063856376209056
Low,26.547738693467338,0.22446608089890732,0.16979567458276287,0.2791364872150518
Low,26.683417085427138,0.2232065554469378,0.16876836237511164,0.2776447485187639
Low,26.819095477386934,0.22195195624090905,0.1677406057736726,0.2761633067081455
Low,26.954773869346734,0.22070228723636637,0.16671245582263514,0.27469211865009757
Low,27.09045226130653,0.21945755211154575,0.1656839651418131,0.2732311390812784
Low,27.22613065326633,0.21821775426903578,0.16465518788963632,0.2717803206484352
Low,27.36180904522613,0.2169828968374631,0.16362617972369464,0.27033961395123157
Low,27.49748743718593,0.21575298267319798,0.16259699775890998,0.26890896758748595
Low,27.63316582914573,0.21452801436208185,0.1615677005234169,0.2674883282007468
Low,27.768844221105528,0.213307994221175,0.16053834791224753,0.26607764053010247
