component,chi2,p_value
CR-POPF B/C,19.13430946270924,0.00394271685515124
Clavien ≥III,7.092806177086134,0.3123498023784901
Conversion,17.051888702035157,0.009094425552062968
Réadmission,14.389812591627672,0.025572260136094815
Réintervention,2.6773877996370623,0.8481108515069848
