group,bmi_group_median,outcome,bmi_ref,bmi_target,OR,ci_low,ci_high
BMI <18.5 (median BMI),17.630853994490355,best_performer,25,17.630853994490355,1.0039695764264323,0.6373365156934753,1.5815113139926256
BMI <20 (median BMI),18.832391713747644,best_performer,25,18.832391713747644,1.1267028223465385,0.833658123692084,1.5227576074728406
