bmi_class_ext,n,CR-POPF B/C,Clavien ≥III,Conversion,Réadmission,Réintervention
<18.5,61,0.13114754098360656,0.13114754098360656,0.11475409836065574,0.04918032786885246,0.06557377049180328
18.5-19.9,119,0.15126050420168066,0.13445378151260504,0.08403361344537816,0.13445378151260504,0.07563025210084033
20-24.9,833,0.16686674669867949,0.1644657863145258,0.13805522208883553,0.1332533013205282,0.05282112845138055
25-29.9,603,0.19900497512437812,0.2023217247097844,0.17744610281923714,0.175787728026534,0.06135986733001658
30-34.9,304,0.23026315789473684,0.19736842105263158,0.19736842105263158,0.1875,0.05592105263157895
35-39.9,79,0.22784810126582278,0.189873417721519,0.189873417721519,0.189873417721519,0.0759493670886076
≥40,29,0.41379310344827586,0.13793103448275862,0.27586206896551724,0.20689655172413793,0.0
