component,chi2,p_value
CR-POPF B/C,18.96942135856353,0.001947507865978193
Clavien ≥III,6.453222513040769,0.2645807203025601
Conversion,14.776838198483048,0.011359670383387255
Réadmission,14.388665863547597,0.013320225044437195
Réintervention,1.6846748573841073,0.8908247818617934
